Number of files: 500
carryingcap_is,carryingcap_main,crown_age,init_n_main_cls,init_n_main_sps,ana,clado_is,clado_main,ext_is,ext_main,mig_to_is,rng_seed,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,1,0.466094,1.19171e-05,2.12365,0.00127608,5.03518e-07,-197.678,5,0,0.813565,0.0293006,2.07943,0.00122159,0.340627,-175.004,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,1,0.466094,1.19171e-05,2.12365,0.00127608,5.03518e-07,-197.678,5,0,0.813565,0.0293006,2.07943,0.00122159,0.340627,-175.004,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,1,0.583935,2.56593e-10,2.05952,0.00107216,1.33232e-06,-171.411,5,0,0.566242,0.0715389,3.09142,0.00120785,21971.5,-165.176,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,1,0.583935,2.56593e-10,2.05952,0.00107216,1.33232e-06,-171.411,5,0,0.52327,7.28072e-08,2.0633,0.000939498,0.0638359,-152.358,5,0
15,1100,15,1000,1000,0.87,0.2,0,0.09,0,0.002,1,0.147195,8.17301e-06,5.87091,0.00100235,4.34096e-06,-174.268,5,0,0.813565,0.0293006,2.07943,0.00122159,0.340627,-175.004,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,2,0.466094,1.19171e-05,2.12365,0.00127608,5.03518e-07,-197.678,5,0,0.0952733,6.281e-09,8.2421,0.000934787,0.727384,-156.145,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,2,0.466094,1.19171e-05,2.12365,0.00127608,5.03518e-07,-197.678,5,0,0.191116,5.40414e-08,2.43159,0.00100666,0.136311,-159.479,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,2,0.254075,0.0667067,5.89263,0.00119272,3.28575e-05,-167.617,5,0,0.813565,0.0293006,2.07943,0.00122159,0.340627,-175.004,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,2,0.583935,2.56593e-10,2.05952,0.00107216,1.33232e-06,-171.411,5,0,0.340978,0.0421478,3.15627,0.00100292,9.51575e-08,-154.231,5,0
15,1100,15,1000,1000,0.87,0.2,0,0.09,0,0.002,2,0.583935,2.56593e-10,2.05952,0.00107216,1.33232e-06,-171.411,5,0,0.497214,0.0870596,5,0.000823131,142343,-133.742,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,3,0.466094,1.19171e-05,2.12365,0.00127608,5.03518e-07,-197.678,5,0,0.813565,0.0293006,2.07943,0.00122159,0.340627,-175.004,5,0
NA
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,3,0.583935,2.56593e-10,2.05952,0.00107216,1.33232e-06,-171.411,5,0,0.497214,0.0870596,5,0.000823131,142343,-133.742,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,3,0.466094,1.19171e-05,2.12365,0.00127608,5.03518e-07,-197.678,5,0,0.813565,0.0293006,2.07943,0.00122159,0.340627,-175.004,5,0
15,1100,15,1000,1000,0.87,0.2,0,0.09,0,0.002,3,0.583935,2.56593e-10,2.05952,0.00107216,1.33232e-06,-171.411,5,0,0.505499,1.38847e-06,2.03115,0.00100629,0.278121,-149.975,5,0
NA
