carryingcap_is,carryingcap_main,crown_age,init_n_main_cls,init_n_main_sps,ana,clado_is,clado_main,ext_is,ext_main,mig_to_is,rng_seed,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,8,0.0530673,9.35001e-11,6.38841,0.000866312,0.21426,-135.764,5,0,0.0862236,1.35948e-08,20.5003,0.000667506,0.271825,-121.124,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,8,0.0530673,9.35001e-11,6.38841,0.000866312,0.21426,-135.764,5,0,0.0862236,1.35948e-08,20.5003,0.000667506,0.271825,-121.124,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,9,0.104222,4.24335e-05,3.00001,0.00113908,1123.45,-167.312,5,0,0.0874769,1.64645e-07,4.00584,0.000934102,0.128625,-150.107,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,9,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0664405,1.30219e-07,109670,0.000534277,0.217882,-101.089,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,9,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.102919,1.65467e-07,8.35189,0.000666962,0.0808626,-116.896,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,9,0.0317358,1.37586e-08,6.07364,0.00086786,8822.91,-118.754,5,0,0.0430767,0.033645,4.1873,0.00132215,0.257704,-147.425,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,10,0.042488,0.00361106,inf,0.00115899,0.204812,-167.048,5,0,0.0548219,0.00469547,8.50971,0.00102929,0.0833089,-149.561,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,10,0.104222,4.24335e-05,3.00001,0.00113908,1123.45,-167.312,5,0,0.0715905,1.83825e-07,1.47615e+06,0.000800246,0.168011,-140.687,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,10,0.0473228,1.6281e-06,6.07316,0.000933857,0.105054,-146.15,5,0,0.153118,1.45359e-05,2.25099,0.000805475,0.348461,-123.963,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,10,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0664405,1.30219e-07,109670,0.000534277,0.217882,-101.089,5,0
