"","Clade_name","Status","Missing_species","Branching_times"
"1","Coccyzus","Non_endemic_MaxAge",0,"7.456"
"2","Dendroica","Non_endemic",0,"0.34"
"3","Finches","Endemic",0,"3.0282,1.3227,0.8223"
